sdg,rank_within_sdg,policy_item_id,policy_source_doc,research_item_id,research_publication_year,raw_cosine,adjusted_cosine,delta_cosine,policy_text_snippet,research_text_snippet
10,5,UN_2022_The_Sustainable_Development_Goals_Report_2022_0126,UN_2022_The_Sustainable_Development_Goals_Report_2022,https://openalex.org/W4306986509,2022,0.76677,0.769164,0.002394,"inequality rose by 1.2 per cent between 2017 and 2021, the first -2.6 -2 -3.2 such increase in a generation. Before the pandemic, inequality was -3.8 -4 -5.7 expected to have fallen by 2.6 per cent over the same period. -6 Forecasts suggest that income inequality within countries",Will Outbreaks Increase or Reduce Income Inequality? the Case of COVID-19. The effects of economic contractions experienced during pandemic periods on different income sectors and country groups in terms of income inequality are not homogeneous. Due to the fact that COVID-19 has 
11,1,UN_SDG_Progress_Report_2017_0133,UN_SDG_Progress_Report_2017,https://openalex.org/W2917826969,2019,0.860809,0.855046,-0.005763,"Goal 11: Make cities and human settlements inclusive, safe, resilient and sustainable The pace of urban growth has been unprecedented. Around the turn of the century, for the first time in history, urban dwellers outnumbered their rural counterparts, and by 2015, nearly 4 billion","Beyond trees. More than half of the world's population lives in urban areas. By 2050, that number is expected to increase to at least 70 percentâand the densest of these areas will be concentrated in Asia and Africa. Cities around the world are feeling the strain of increasing po"
11,2,UN_2016_The_Sustainable_Development_Goals_Report_2016_0083,UN_2016_The_Sustainable_Development_Goals_Report_2016,https://openalex.org/W2917826969,2019,0.786268,0.777446,-0.008822,"Goal 11: Make cities and human settlements inclusive, safe, resilient and sustainable Today, more than half the world's population live in cities. By 2030, it is projected that 6 in 10 people will be urban dwellers. Despite numerous planning challenges, cities offer more efficien","Beyond trees. More than half of the world's population lives in urban areas. By 2050, that number is expected to increase to at least 70 percentâand the densest of these areas will be concentrated in Asia and Africa. Cities around the world are feeling the strain of increasing po"
11,3,sdgi_03199_4,sdgi_CAN_VLR_winnipeg_2021,https://openalex.org/W3029877990,2019,0.785151,0.78773,0.002579,"Boniface St. JamesAssiniboia St. Vital Transcona Automobile Active Transportation Public Transportation SDG 11: Sustainable Cities and Communities Percent 64 What We’re Doing Although we often think of cities in terms of the built environment (infrastructure and buildings), the d","How to explain sustainability: the future of urban planning researched through health. The attempts made in history to design livable sustainable neighborhoods, have created dependency instead on motorized transportation and have increased the pressure of the city, leading to uns"
11,4,UN_SDG_Progress_Report_2018_0062,UN_SDG_Progress_Report_2018,https://openalex.org/W2917826969,2019,0.769285,0.759302,-0.009982,"HIGH-LEVEL POLITICAL FORUM GOALS IN FOCUS Goal 11: Make cities and human settlements inclusive, safe, resilient and sustainable As the world becomes increasingly urbanized, many countries face growing numbers of slum dwellers, worsening air quality and insufficient basic urban se","Beyond trees. More than half of the world's population lives in urban areas. By 2050, that number is expected to increase to at least 70 percentâand the densest of these areas will be concentrated in Asia and Africa. Cities around the world are feeling the strain of increasing po"
11,5,sdgi_03347_0,sdgi_GMB_VNR_2022,https://openalex.org/W2917826969,2019,0.768135,0.757717,-0.010418,"50 5.2.9 Goal 11: Sustainable Cities and Communities The high population growth (3.1 percent) coupled with the sharp increase in urbanization has led to huge population concentration in the urban area. With about two thirds of the population residing in urban areas, there is incr","Beyond trees. More than half of the world's population lives in urban areas. By 2050, that number is expected to increase to at least 70 percentâand the densest of these areas will be concentrated in Asia and Africa. Cities around the world are feeling the strain of increasing po"
12,1,UN_SDG_Progress_Report_2021_0145,UN_SDG_Progress_Report_2021,https://openalex.org/W4391622363,2023,0.787803,0.7887,0.000897,"Electronic waste continues to proliferate and is not being disposed of in a responsible way In 2019, the world generated 53.6 million metric tons of electronic E-waste generated and recycled, 2010-2019, projected e-waste generated and and electrical equipment waste (e-waste), an ","The Environmental Fate of E‐waste. E-waste comprises electronic products including computers, televisions, monitors, cellphones, printers, telephones, fax machines, etc. that have come to the end of their useful life. These materials consist of toxic and hazardous materials that "
12,2,UN_SDG_Progress_Report_2024_0116,UN_SDG_Progress_Report_2024,https://openalex.org/W4411463018,2025,0.786802,0.790903,0.004101,"Most food waste capita, possibly due to increased consumption of fresh food with substantial occurred in households (60 per cent); each person wasted an average of 79 inedible parts and inadequate refrigeration. Further, each year, food loss and kilograms annually, more than the ",Essential recycling and repurposing of food waste for environment and sustainability. Food waste valorization by recycling and repurposing is critical for lowering the environmental and economic burden of discarded food and facilitating the transition to a circular economy. Sever
12,3,sdgi_03611_5,sdgi_ESP_VNR_2018,https://openalex.org/W4382278447,2023,0.781056,0.779794,-0.001262,"Likewise, according to official Spanish statistics on waste collection and treatment (compiled by INE in collaboration with MITECO), the total volume of waste in 2015 was 21.16 million tons, fully 11% lower than in 2010. The most important challenge currently facing us in this ar",Barriers toward circular economy transition: Exploring different stakeholders' perspectives. Abstract Circular economy (CE) attempts to improve the environmental and economic performance of existing production systems and particularly waste management through the introduction of 
12,4,sdgi_03653_3,sdgi_LBN_VNR_2018,https://openalex.org/W2901721563,2018,0.772849,0.772407,-0.000441,"An estimated 15.7 percent of additional solid waste is attributed to displaced populations, leading to existing solid waste management infrastructure being stressed, an increase in open dumping and open burning of waste, and increased contamination of land, surface and groundwate","Reacting to the Solid Waste Management Crisis: Investigation of a Public-Private Partnership in Lebanon. Since 2015, the provision of solid waste management-related services in Lebanon has been severely lacking and environmentally detrimental. This national crisis has led some mu"
12,5,sdgi_03617_18,sdgi_EU_VNR_2023,https://openalex.org/W4405710556,2024,0.769,0.760631,-0.008369,"The 2020 Circular Economy Action Plan emphasises that the EU cannot deliver alone the European Green Deal’s ambition for aclimate-neutral, resource-efficient and circular economy. The action plan also confirms that the EU will continue to lead the way to a circular economy at the","Strengthening Circular Economy through Industrial Symbiosis: The NextGenerationEU Opportunity. Adopting the approach of industrial symbiosis, where waste from one company becomes input for another, aligns with global sustainability goals, including the Paris Agreement, UN 2030 Ag"
13,1,ungdc_003627,ungdc_PAK_75_2020,https://openalex.org/W4405979470,2024,0.805664,0.80728,0.001616,"According to respected Professor Noam Chomsky, mankind is at even a greater risk than it was before the First and Second World Wars in the last century because of the increased threat of nuclear war, Climate Change, and sadly the rise of authoritarian regimes. We must come togeth","Climate Change and National Security Challenges to Pakistan: An Analysis. Climate change is increasingly recognized as a major national security concern in Pakistan. The country faces many climate-related challenges, including rising temperatures, changing precipitation patterns,"
13,2,ungdc_004074,ungdc_LCA_76_2021,https://openalex.org/W3120100683,2020,0.798933,0.793065,-0.005868,"Mr. President, the pandemic seems to have slowed down everything but the deterioration of our beloved planet earth. Climate change continues to wreak havoc across all areas of the globe. While COVID-19 now grabs the headlines, it is a fact that the pandemic emerged at a time when","Implications of COVID-19 for the Environment and Sustainability (Version 2): Perspectives from the Triple R (Response, Recovery, Redesign) Framework. COVID-19 has morphed from a dangerous regional health threat to an all-consuming global pandemic and economic disaster. COVID-19's"
13,3,UN_SDG_Progress_Report_2023_0133,UN_SDG_Progress_Report_2023,https://openalex.org/W3005353816,2020,0.794566,0.791796,-0.002769,"Global climate change education has so far not kept up with youth demand Students and youth globally are demanding climate action and explain the effects of climate change in their region. Furthermore, 70 per comprehensive and quality climate education to prepare them for a cent ","The climate in our hands - Ocean and cryosphere. There is an urgent need for collective action to mitigate the consequences of climate change and adapt to unavoidable changes. The complexity of climate change issues can pose educational challenges. Nonetheless, education has a ke"
13,4,EuropeanCommission_2019_The_European_Green_Deal_0001,EuropeanCommission_2019_The_European_Green_Deal,https://openalex.org/W4384666490,2023,0.792714,0.791933,-0.000781,1. INTRODUCTION - TURNING AN URGENT CHALLENGE INTO A UNIQUE OPPORTUNITY This Communication sets out a European Green Deal for the European Union (EU) and its citizens. It resets the Commission's commitment to tackling climate and environmental-related challenges that is this gene,"Green growth and competitiveness in EU climate policy: paradigm shift or 'plus de la même chose'?. This chapter examines how green growth and competitiveness considerations inform EU climate policy and politics. Since the early 1970s, EU policy discourse has emphasised 'win-win' "
13,5,UnitedNationsSystem_2024_White_Paper_on_AI_Governance_0051,UnitedNationsSystem_2024_White_Paper_on_AI_Governance,https://openalex.org/W4401386140,2024,0.784054,0.782104,-0.00195,"While the IPCC was created for scientific consensus building, it was in response to growing environmental consciousness at an international level and some political momentum leading up to its creation, including the 1972 United Nations Conference on the Human Environment in Stock",What is the IPCC's assessment style and what shaped it?. The Intergovernmental Panel on Climate Change (IPCC) is one of the best-known global expert organizations. Its main objective is to supply policymakers with policy-relevant recent scientific information about climate change
14,1,ungdc_004760,ungdc_MHL_77_2022,https://openalex.org/W4385661407,2023,0.788918,0.78301,-0.005908,"We are pleased to note and support the establishment of the human right to a clean environment and the post of Special Rapporteur on the promotion and protection of human rights in the context of climate change. As a small island developing State, the Marshall Islands is committe","Ocean-based Climate Action and Human Rights Implications under the International Climate Change Regime. Abstract After drawing attention to the crucial role of marine biodiversity, including that of deep-sea ecosystems, in current scientific understanding of the ocean-climate nex"
14,2,UN_SDG_Progress_Report_2019_0139,UN_SDG_Progress_Report_2019,https://openalex.org/W4406399915,2025,0.786446,0.787194,0.000748,"composition of seawater, altering its carbonate chemistry and resulting in a decrease of pH (and growing ocean acidification). 425 8.33 Observations of ocean pH over the past 30 years have shown a decrease in surface pH of 0.1 units. This is equivalent to a 26 per cent 400 8.28 i","Ocean acidification. Understanding the effects, exploring the solutions. Carbon dioxide CO2 emissions, resulting from the combustion of fossil fuels by human activity, reinforce the greenhouse effect and cause climate disruption. While public awareness of this global problem is g"
14,3,UN_SDG_Progress_Report_2023_0140,UN_SDG_Progress_Report_2023,https://openalex.org/W4406399915,2025,0.784039,0.783318,-0.00072,"Expanding global ocean acidification monitoring is crucial to confront an unabating crisis As greenhouse gas emissions soar, the oceans are silently absorbing The number of stations reporting ocean acidification data worldwide has a quarter of annual carbon dioxide emissions. Whi","Ocean acidification. Understanding the effects, exploring the solutions. Carbon dioxide CO2 emissions, resulting from the combustion of fossil fuels by human activity, reinforce the greenhouse effect and cause climate disruption. While public awareness of this global problem is g"
14,4,ungdc_003043,ungdc_PLW_74_2019,https://openalex.org/W4385661407,2023,0.771962,0.765552,-0.006409,"As co-Chair of the High-level Panel for a Sustainable Ocean Economy, I am working with 13 other serving Heads of State to rebalance humankind’s contract with the ocean. As the Panel continues to develop its recommendations for achieving a sustainable ocean economy ahead of the 20","Ocean-based Climate Action and Human Rights Implications under the International Climate Change Regime. Abstract After drawing attention to the crucial role of marine biodiversity, including that of deep-sea ecosystems, in current scientific understanding of the ocean-climate nex"
14,5,UN_SDG_Progress_Report_2020_0148,UN_SDG_Progress_Report_2020,https://openalex.org/W4406399915,2025,0.768178,0.768997,0.000818,"Conserve and sustainably use the oceans, seas and marine resources for sustainable development Oceans are our planet's life support and regulate the global climate system. They are the world's largest ecosystem, home to nearly a million known species, containing vast untapped pot","Ocean acidification. Understanding the effects, exploring the solutions. Carbon dioxide CO2 emissions, resulting from the combustion of fossil fuels by human activity, reinforce the greenhouse effect and cause climate disruption. While public awareness of this global problem is g"
15,1,sdgi_04480_5,sdgi_IDN_VNR_2021,https://openalex.org/W4213452035,2022,0.801447,0.800824,-0.000623,"In addition, there is a reduction in the ideal habitat area for endangered species on four large islands (Sumatera, cava, Kalimantan and 340 Sulawesi) which is driven by an increase in monoculture plantation areas which further depress forest cover and can lead to increased loss ","Tropical Forest Landscape Restoration in Indonesia: A Review. Indonesia has the second-largest biodiversity of any country in the world. Deforestation and forest degradation have caused a range of environmental issues, including habitat degradation and loss of biodiversity, deter"
15,2,sdgi_04541_11,sdgi_NZL_VNR_2019,https://openalex.org/W3110322969,2020,0.785701,0.787122,0.001421,"IN RESPONSE TO THESE THREATS, THE NEW ZEALAND GOVERNMENT HAS ADOPTED THE VISION OF ACHIEVING A PREDATOR FREE NEW ZEALAND BY 2050. Predator Free 2050 is a step change programme, driving co-ordinated, progressive, eradication nationwide. Achievement of a predator free New Zealand r","Predator-free New Zealand 2050: Fantasy or Reality?. Possums, stoats, and rats introduced into previously mammal-free New Zealand (NZ) seriously impact our native flora and fauna. As a result, considerable research effort has focused on their control, with excellent success in th"
15,3,sdgi_04541_5,sdgi_NZL_VNR_2019,https://openalex.org/W3110322969,2020,0.780088,0.781364,0.001276,"Our sixth National Report to the CBD in 2018 shows that New Zealand has made good progress on actions taken to raise awareness of biodiversity, integrate biodiversity into planning processes and increase covenant protection on private land. However, it also makes it clear that mu","Predator-free New Zealand 2050: Fantasy or Reality?. Possums, stoats, and rats introduced into previously mammal-free New Zealand (NZ) seriously impact our native flora and fauna. As a result, considerable research effort has focused on their control, with excellent success in th"
15,4,sdgi_04451_6,sdgi_ESP_VNR_2018,https://openalex.org/W4401246879,2024,0.764199,0.76207,-0.002129,"The 2030 Agenda provides the opportunity to present all this information, in a categorised and operational format, as a comprehensive diagnosis that is readily accessible to interested parties. To put this into practice, the Ministry produces and publishes an annual report on nat","Exploring the role of ecosystem based-adaptation in climate change mitigation and resilience building. &lt;p&gt;Climate change significantly threatens global ecosystems and human societies, necessitating innovative strategies for mitigation and adaptation. This study addresses th"
15,5,SDSN_Sustainable_Development_Report_2024_0151,SDSN_Sustainable_Development_Report_2024,https://openalex.org/W3091345950,2020,0.738563,0.734914,-0.003649,"Both cropland and pasture- highlights the need for a deeper analysis of results con- land productivity* increase over time in all pathways, cerning input use - at the river basin level, for example. with the GS pathway showing the greatest gains (+18% for cropland and +35% for pa","Managing Grazing to Restore Soil Health, Ecosystem Function, and Ecosystem Services. Ruminants including domestic livestock, have been accused of causing damaging impacts on the global environment and human well-being. However, with appropriate management, ruminant livestock can "
16,1,GovernmentOfKenya_2025_Kenya_National_Artificial_Intelligence_Strategy_2025_2030_0051,GovernmentOfKenya_2025_Kenya_National_Artificial_Intelligence_Strategy_2025_2030,https://openalex.org/W4401490455,2024,0.83718,0.833739,-0.003442,"3�4� Legal and Regulatory Environment 3�4�1� Global Context Though progress remains slow, 2023 saw a substantial increase from the previous year The rapid advancement of AI technologies has in the number of countries with laws that prompted the development of global policy includ","Regulating Artificial Intelligence in the European Union and the United States. Ethics is an increasingly important topic surrounding the development and deployment of artificial intelligence (AI), which has had many impacts on the general population, as it is integrated into soc"
16,2,EU_AI_Ethics_Guidelines_HLEG_0089,EU_AI_Ethics_Guidelines_HLEG,https://openalex.org/W4379538491,2023,0.821787,0.822481,0.000693,"Trustworthy AI has three components: (1) it should be lawful, ensuring compliance with all applicable laws and regulations, (2) it should be ethical, ensuring adherence to ethical principles and values and (3) it should be robust, both from a technical and social perspective sinc","RE-centric Recommendations for the Development of Trustworthy(er) Autonomous Systems. Complying with the EU AI Act (AIA) guidelines while developing and implementing AI systems will soon be mandatory within the EU. However, practitioners lack actionable instructions to operationa"
16,3,GovernmentOfIndia_2021_Responsible_AI_Approach_Document_for_India_0046,GovernmentOfIndia_2021_Responsible_AI_Approach_Document_for_India,https://openalex.org/W4379538491,2023,0.81944,0.818838,-0.000601,"overarching AI ethics principles will guide the overall design, development and deployment of AI in the country, a graded risk-based approach to varying use cases across different sectors need to be adopted. At the same time, the AI ecosystem has multiple stakeholders- private se","RE-centric Recommendations for the Development of Trustworthy(er) Autonomous Systems. Complying with the EU AI Act (AIA) guidelines while developing and implementing AI systems will soon be mandatory within the EU. However, practitioners lack actionable instructions to operationa"
16,4,EU_AI_Ethics_Guidelines_HLEG_0036,EU_AI_Ethics_Guidelines_HLEG,https://openalex.org/W4379538491,2023,0.814794,0.814875,8.1e-05," Acknowledge that, while bringing substantial benefits to individuals and society, AI systems also pose certain risks and may have a negative impact, including impacts which may be difficult to anticipate, identify or measure (e.g. on democracy, the rule of law and distributive ","RE-centric Recommendations for the Development of Trustworthy(er) Autonomous Systems. Complying with the EU AI Act (AIA) guidelines while developing and implementing AI systems will soon be mandatory within the EU. However, practitioners lack actionable instructions to operationa"
16,5,UN_AI_Strategy_Resource_Guide_0036,UN_AI_Strategy_Resource_Guide,https://openalex.org/W7116444961,2025,0.812263,0.811823,-0.000441,"transparency; safety and security (confidentiality, integrity, availability of information, systemic resilience, preventing malicious use); and interagency coordination (sharing experiences while protecting privacy, liberties and American values). Download here 10. UK House of Lo","Survey on Ethical Issues in Artificial Intelligence. Artificial Intelligence (AI) has emerged as one of the most transformative technologies of the 21st century, rev- olutionizing sectors such as healthcare, finance, education, and governance. However, as AI systems become more a"
17,1,ungdc_002907,ungdc_MCO_74_2019,https://openalex.org/W4200251187,2021,0.82299,0.812867,-0.010123,"The commitment of so many of us to standing with the Secretary-General is testament to our support for his leadership and our recognition of his unwavering commitment to the multilateralism that the United Nations embodies. Nevertheless, international institutions and civil serva","The United Nations Envisions Sustainable Development Goals [Cope Corner]. The 2030 agenda adopted by the United Nations General Assembly for sustainable development includes 17 Sustainable Development Goals (SDGs), shown in <xref ref-type=""fig"" rid=""fig1"" xmlns:mml="" xmlns:xlink="
17,2,sdgi_05464_0,sdgi_DEU_VLR_hanover_2020,https://openalex.org/W4200251187,2021,0.809745,0.797286,-0.01246,"STRATEGIC GOAL 20 Establish sustainability as broadly as possible, strengthen participation at all levels GLOBAL CONTEXT The 196 countries signing the United Nations’ “2030 Agenda for Sustainable Development” [218] have pledged to implement the 17 Sustainable Development Goals (S","The United Nations Envisions Sustainable Development Goals [Cope Corner]. The 2030 agenda adopted by the United Nations General Assembly for sustainable development includes 17 Sustainable Development Goals (SDGs), shown in <xref ref-type=""fig"" rid=""fig1"" xmlns:mml="" xmlns:xlink="
17,3,OECD_2022_The_Short_and_Winding_Road_to_2030_Measuring_Distance_to_the_SDG_Targets__v2_0023,OECD_2022_The_Short_and_Winding_Road_to_2030_Measuring_Distance_to_the_SDG_Targets__v2,https://openalex.org/W4200251187,2021,0.807857,0.795142,-0.012714,"14  The 2030 Agenda for Sustainable Development, adopted by all the UN Member States at the UN General Assembly in September 2015, includes an ambitious set of 17 goals and 169 targets that all the countries committed to achieve by 2030. It is a call to action for a better and m","The United Nations Envisions Sustainable Development Goals [Cope Corner]. The 2030 agenda adopted by the United Nations General Assembly for sustainable development includes 17 Sustainable Development Goals (SDGs), shown in <xref ref-type=""fig"" rid=""fig1"" xmlns:mml="" xmlns:xlink="
17,4,ungdc_000533,ungdc_ZMB_70_2015,https://openalex.org/W4200251187,2021,0.796553,0.785315,-0.011238,"We have just adopted the world’s quintessential development blueprint in the form of the 2030 Agenda for Sustainable Development (resolution 70/1), centred on humankind, the environment and the creation of peaceful societies. Those core elements will guide its implementation, sup","The United Nations Envisions Sustainable Development Goals [Cope Corner]. The 2030 agenda adopted by the United Nations General Assembly for sustainable development includes 17 Sustainable Development Goals (SDGs), shown in <xref ref-type=""fig"" rid=""fig1"" xmlns:mml="" xmlns:xlink="
17,5,OECD_2023_Advancing_Accountability_in_AI_Governing_and_Managing_Risks_Throughout_the_Lifecycle_0008,OECD_2023_Advancing_Accountability_in_AI_Governing_and_Managing_Risks_Throughout_the_Lifecycle,https://openalex.org/W4318718586,2023,0.794659,0.790903,-0.003756,"6  ADVANCING ACCOUNTABILITY IN AI Abstract Trustworthy AI calls for AI actors to be accountable for the proper functioning of their AI systems in accordance with their role, context, and ability to act. This report presents research and findings on accountability and risk in AI ",Towards Concrete and Connected AI Risk Assessment (C$^2$AIRA): A Systematic Mapping Study. The rapid development of artificial intelligence (AI) has led to increasing concerns about the capability of AI systems to make decisions and behave responsibly. Responsible AI (RAI) refers
